,address,ward,application number,application type,date submitted,status,description,link
12,1049 college st,ward 9: davenport,22 146758 ste 09 mv,minor variance,13/05/2022,in process,"to construct a rear 3 storey addition with a rear deck on the first, second, and third floor.",http://app.toronto.ca/AIC/index.do?folderRsn=aQRBpKealOZeJ3MDtJM%2B8g%3D%3D
13,825 college st,ward 11: university-rosedale,09 147886 ste 19 sa,site plan approval,10/6/2009,under review,site plan approval further to minor variance approval for development for reasons solely abutting substandard lane.,http://app.toronto.ca/AIC/index.do?folderRsn=z2xdxDjJw%2BIZo21CeEaeZQ%3D%3D
14,877 college st,ward 9: davenport,17 196947 ste 19 oz,rezoning,12/7/2017,closed,"zoning by-law amendment to facilitate redevelopment of the site with a new  7-storey mid-rise mixed-use building.  the base of the building includes about 1,700 m2 of retail space and a residential lobby along college street. the proposal includes 103 units on floors 2-7 and indoor and outdoor amenity space on the rooftop. 13 rental replacement units are also proposed on the 2nd floor. the 13 rental replacement units consist of 7 one-bedroom units, 5 two-bedroom units and 1 three-bedroom unit.",http://app.toronto.ca/AIC/index.do?folderRsn=OrmG91lbkr7BS1PyKtFXkw%3D%3D
15,441 concord ave,ward 9: davenport,21 101645 ste 09 co,application for consent,7/1/2021,tentatively scheduled,to obtain consent to sever the property into two undersized residential lots.,http://app.toronto.ca/AIC/index.do?folderRsn=RBSJ%2Fh%2BrHi9HEs0sEIYgLA%3D%3D
16,441 concord ave,ward 9: davenport,21 101648 ste 09 mv,minor variance,7/1/2021,tentatively scheduled,"to construct a three-storey semi-detached dwelling with a front porch, a rear ground floor deck, a rear third storey balcony and a front basement walkout. a garage will also be constructed in the rear of the lot.",http://app.toronto.ca/AIC/index.do?folderRsn=ns1N9UX9HkjAr42M7lQndw%3D%3D
17,441 concord ave,ward 9: davenport,21 101649 ste 09 mv,minor variance,7/1/2021,tentatively scheduled,"to construct a three-storey semi-detached dwelling with a front porch, a rear ground floor deck, a rear third storey balcony and a front basement walkout. a garage will also be constructed in the rear of the lot.",http://app.toronto.ca/AIC/index.do?folderRsn=vKfqAvf1KdD9o0NFt3UGdw%3D%3D
18,577 concord ave,ward 9: davenport,21 238909 ste 09 mv,minor variance,17/11/2021,closed,"to alter the existing two-storey semi-detached dwelling by constructing a rear three-storey addition, a complete third storey, and a front basement walkout leading exclusively to a secondary suite.",http://app.toronto.ca/AIC/index.do?folderRsn=t%2F6znmlDG1na2vqPvTqVow%3D%3D
19,445 crawford st,ward 11: university-rosedale,21 183381 ste 11 mv,minor variance,13/07/2021,closed,"to alter the existing two-storey detached dwelling by constructing a first storey side addition with a front entrance, and to maintain an existing parking space in the front yard. also, to construct a new front yard ancillary building (shed).",http://app.toronto.ca/AIC/index.do?folderRsn=V8%2FuQOewvAzm9wlSedp13A%3D%3D
20,539 crawford st,ward 11: university-rosedale,22 114666 ste 11 mv,minor variance,16/02/2022,closed,"to alter the existing two-storey detached dwelling by constructing a new two-storey rear addition with a deck and a complete third storey addition with a rear terrace. also to construct a one-storey ancillary building (detached garage) in the rear yard of the property, abutting the laneway.",http://app.toronto.ca/AIC/index.do?folderRsn=4jIZ%2BmBc8FKkjUVyqrBz%2Bw%3D%3D
21,90 croatia st,ward 9: davenport,18 126273 ste 18 sa,site plan approval,7/3/2018,noac issued,site plan control application proposing to demolish the existing public high school and construct a new public high school. this is a seperate application from the subdivision and official plan / zoning amendment application for a large-scale mixed-use redevelopment located to the east.,http://app.toronto.ca/AIC/index.do?folderRsn=Tittb0KrMabek8s84zyY3w%3D%3D
22,101 delaware ave,ward 9: davenport,22 103911 ste 09 mv,minor variance,14/01/2022,closed,to construct a new one-storey ancillary building (detached garage) in the rear yard of the existing 2½-storey semi-detached dwelling.,http://app.toronto.ca/AIC/index.do?folderRsn=ZIzE4p8GGqcNtEJRH3PxMQ%3D%3D
23,322 delaware ave,ward 9: davenport,22 113487 ste 09 mv,minor variance,11/2/2022,closed,to alter the existing two-storey detached dwelling by constructing a second storey rear addition.,http://app.toronto.ca/AIC/index.do?folderRsn=WgfO6Cz3hlaaFHGFNKiWrg%3D%3D
24,395 delaware ave,ward 9: davenport,22 103879 ste 09 mv,minor variance,14/01/2022,hearing scheduled,"to construct a two-storey ancillary building (detached garage with a laneway suite) at the rear of the property, abutting the laneway. the existing garage will be demolished.",http://app.toronto.ca/AIC/index.do?folderRsn=4w8kWLDz3VodfpSgDcK4rg%3D%3D
25,435 delaware ave,ward 9: davenport,22 106831 ste 09 mv,minor variance,24/01/2022,closed,to alter the existing two-storey semi-detached dwelling by constructing a rear second storey cantilevered addition and a rear ground floor deck.,http://app.toronto.ca/AIC/index.do?folderRsn=hZt25Y0mLQqEGkjY%2BJfczw%3D%3D
26,51 delaware ave,ward 9: davenport,21 251833 ste 09 mv,minor variance,29/12/2021,closed,to convert the existing two-and-one-half-storey semi-detached dwelling from two units into three units by constructing a rear two-storey addition and a rear third storey addition with a rear third storey deck.,http://app.toronto.ca/AIC/index.do?folderRsn=m0gRSOL5c0dMcrzC96DoIA%3D%3D
27,42 dewson st,ward 9: davenport,21 128464 ste 09 mv,minor variance,17/03/2021,closed,to convert a portion of the existing lawful non-conforming small retail grocery/variety store use on the ground floor within the existing two-storey mixed-use building to include a take-out eating establishment.,http://app.toronto.ca/AIC/index.do?folderRsn=0gIzHgxLvaKjpoABTc5uYQ%3D%3D
28,455 dovercourt rd,ward 9: davenport,13 277931 ste 19 oz,rezoning,13/12/2013,closed,"rezoning application to an existing 3 storey building to renovate and retain existing commercial uses at the ground and second floors, partial demolition of the 3rd storey and construction of 12, two storey residential condominiums lofts with a total of 1297 square metres of residential gross floor area.",http://app.toronto.ca/AIC/index.do?folderRsn=kCGyzTschFy4Df3dNWx0VA%3D%3D
29,466 dovercourt rd,ward 9: davenport,19 264170 ste 09 oz,opa & rezoning,23/12/2019,council approved,"offical plan and zoning by'law amendments to facilitate redevelopment of the site with a 6-storey mixed-use building: 30 dwelling units, commercial and retail uses on ground floor, mezzanine and basement levels of the new building.",http://app.toronto.ca/AIC/index.do?folderRsn=toB%2BkN5OygCNjVdBd5bcMw%3D%3D
30,488 dovercourt rd,ward 9: davenport,22 148363 ste 09 mv,minor variance,18/05/2022,accepted,"to alter the existing three-storey semi-detached dwelling by converting the existing attached garage into two-storey, four unit laneway suit.",http://app.toronto.ca/AIC/index.do?folderRsn=Wo36kun%2FAeq2alLA4eY%2Blg%3D%3D
31,707 dovercourt rd,ward 9: davenport,09 108744 ste 19 oz,opa & rezoning,11/2/2009,closed,"opa and rezoning for construction of new 5 storey residential building containing 77 dwelling units with 2 levels below grade parking with 67 parking spaces (9 visitors) 4476m2.  development includes 5 bachelor, 56 1 bedroom, 16 2 bedroom",http://app.toronto.ca/AIC/index.do?folderRsn=rK4LOUcS6SatVmGrPSIyJg%3D%3D
32,1103 dufferin st,ward 9: davenport,17 268378 ste 18 sa,site plan approval,28/11/2017,final approval completed,"site plan approval for a 3-storey apartment building: 8 dwelling units, 411.09 sq. m. res. gross floor area",http://app.toronto.ca/AIC/index.do?folderRsn=gVxD2AeZd7E8KuIBhzpHRA%3D%3D
33,1183 dufferin st,ward 9: davenport,12 212172 ste 18 oz,opa & rezoning,16/07/2012,closed,official plan amendment and zoning by-law amendment application to convert the existing place of worship into 14 residential units. a total of 11 parking spaces will be provided in a one level below-grade garage. proposal includes interior alterations with a rear addition.,http://app.toronto.ca/AIC/index.do?folderRsn=wprKxPkCyME8SaZ7oZlLkw%3D%3D
34,900 dufferin st,ward 9: davenport,19 184841 ste 09 oz,opa & rezoning,8/7/2019,appeal received,"combined official plan amendment and zoning by-law amendment application to redevelop the north end of the dufferin mall site. the proposal includes a new street and public park, and four towers ranging in height from 14 storeys to 39 storeys.",http://app.toronto.ca/AIC/index.do?folderRsn=FaDhXd6XNlBjz1AHtkDp8Q%3D%3D
35,900 dufferin st,ward 9: davenport,21 209678 ste 09 co,application for consent,8/9/2021,conditional consent,"to obtain consent to sever the property to create two lots and to create easements/rights-of-ways. the consent application is related to an official plan amendment and zoning by-law amendment, as outlined under file number 2019 184841 ste 09 oz.",http://app.toronto.ca/AIC/index.do?folderRsn=IEMA%2FqpykwTns4bMe548Zg%3D%3D
36,995 dufferin st,ward 9: davenport,22 125799 ste 09 mv,minor variance,23/03/2022,tentatively scheduled,"to alter the existing two-storey detached dwelling by constructing three-storey front and rear additions, basement rear addition, new front and rear walkouts, new front deck on the second and third levels, new rear deck on the first and third levels. the dwelling will have 5 units.",http://app.toronto.ca/AIC/index.do?folderRsn=u2KM0Ah9s%2BTNWsxCsRNY%2FQ%3D%3D
37,1025 dupont st,ward 9: davenport,16 237355 ste 18 oz,rezoning,14/10/2016,closed,rezoning application for a three-storey plus mezzanine residential condominium containing seven dwelling units. the building height is 12.19 metres. the total gfa of the project is 1000.26 square metres.,http://app.toronto.ca/AIC/index.do?folderRsn=ouekRkjUtsC7qBZljR7jtg%3D%3D
38,145 essex st,ward 11: university-rosedale,21 230372 ste 11 mv,minor variance,25/10/2021,approved,to alter the existing three-storey semi-detached dwelling by constructing a rear walkout at the basement and second floor to create two secondary suites. the altered dwelling will provide a total of three units.,http://app.toronto.ca/AIC/index.do?folderRsn=bal%2Fj5llQl71jauj%2F07oyw%3D%3D
39,551 gladstone ave,ward 9: davenport,,,,,,http://app.toronto.ca/AIC/index.do?folderRsn=F8AzJ9kzIfkfjfz8DMKg8w%3D%3D
40,662 gladstone ave,ward 9: davenport,20 230021 ste 09 mv,minor variance,17/12/2020,tlab appeal,"to convert the existing two-storey, one-unit detached dwelling to a two-storey, two-unit detached dwelling by constructing a rear two-storey addition with a rear deck and a rear basement walkout.",http://app.toronto.ca/AIC/index.do?folderRsn=e14yHMZ%2BqOr38%2BhFNE5CwQ%3D%3D
41,662 gladstone ave,ward 9: davenport,21 212980 s45 09 tlab,toronto local appeal body,15/09/2021,decision issued,"to convert the existing two-storey, one-unit detached dwelling to a two-storey, two-unit detached dwelling by constructing a rear two-storey addition with a rear deck and a rear basement walkout.",http://app.toronto.ca/AIC/index.do?folderRsn=XxDGJY2RGFCrXcZil98qvg%3D%3D
42,821 gladstone ave,ward 9: davenport,20 131387 ste 09 co,application for consent,9/4/2020,closed,to obtain consent for the technical severance of the property for the purpose of re-establishing two lots which have merged on title.,http://app.toronto.ca/AIC/index.do?folderRsn=Qj3ziWcj1vkljoE8V%2FL0ZA%3D%3D
43,10 hallam st,ward 11: university-rosedale,21 250589 ste 11 mv,minor variance,21/12/2021,hearing scheduled,"to maintain the existing two-storey semi-detached dwelling on the retained lot, described in consent application b0001/22tey.",http://app.toronto.ca/AIC/index.do?folderRsn=FiZvVMdNLPfvVgd9lUnpEw%3D%3D
44,10 hallam st,ward 11: university-rosedale,21 250587 ste 11 mv,minor variance,21/12/2021,hearing scheduled,"to construct a new three-storey detached dwelling with a rear third storey balcony, a rear basement walkout and a front yard parking pad, on the conveyed lot, described in consent application b0001/22tey.",http://app.toronto.ca/AIC/index.do?folderRsn=UZ10pQZshn8fAZRYsf43hA%3D%3D
45,10 hallam st,ward 11: university-rosedale,21 250583 ste 11 co,application for consent,21/12/2021,hearing scheduled,"to obtain consent to sever an existing residential lot into two residential lots, one of which will be an undersized lot.",http://app.toronto.ca/AIC/index.do?folderRsn=hEjvXM50p6utcmaJk9%2Fp9g%3D%3D
46,110 havelock st,ward 9: davenport,16 269876 ste 18 oz,opa,22/12/2016,under review,official plan amendment in order to facilitate the conversion of 8 rental units to freehold ownership,http://app.toronto.ca/AIC/index.do?folderRsn=evbnwX2qNKMqsEECyCt7Cw%3D%3D
47,59 r hepbourne st,ward 9: davenport,21 218602 ste 09 co,application for consent,28/09/2021,tlab appeal,to obtain consent to sever the lot into two undersized residential lots. a new three-storey detached dwelling with a rear integral garage and side third storey terrace will be constructed on the undersized retained lot (part 1) and a new three-storey detached dwelling with a rear integral garage and front third storey terrace will be constructed on the undersized conveyed lot (part 2).,http://app.toronto.ca/AIC/index.do?folderRsn=W3%2B4HyzgcqrzdcL9qI2A9w%3D%3D
48,59 r hepbourne st,ward 9: davenport,21 218600 ste 09 mv,minor variance,28/09/2021,tlab appeal,to construct a new three-storey detached dwelling with a rear integral garage and front third storey terrace. on the undersized conveyed  lot (part 2) described in consent application b0094/21tey.,http://app.toronto.ca/AIC/index.do?folderRsn=0XGoH%2FhkLWTrpLKZi%2FUIpw%3D%3D
49,59 r hepbourne st,ward 9: davenport,21 218596 ste 09 mv,minor variance,28/09/2021,tlab appeal,"to construct a new three-storey detached dwelling with a rear integral garage and side third storey terrace, on the undersized retained lot (part 1) described in consent application b0094/21tey.",http://app.toronto.ca/AIC/index.do?folderRsn=E6t6w0PDypuVwtKhvWF3Hg%3D%3D
50,59 r hepbourne st,ward 9: davenport,22 124797 s53 09 tlab,toronto local appeal body,21/03/2022,hearing scheduled,to obtain consent to sever the lot into two undersized residential lots. a new three-storey detached dwelling with a rear integral garage and side third storey terrace will be constructed on the undersized retained lot (part 1) and a new three-storey detached dwelling with a rear integral garage and front third storey terrace will be constructed on the undersized conveyed lot (part 2).,http://app.toronto.ca/AIC/index.do?folderRsn=Tp7XxfFwwTFdvlyqHZwswA%3D%3D
51,59 r hepbourne st,ward 9: davenport,22 124795 s45 09 tlab,toronto local appeal body,21/03/2022,hearing scheduled,"to construct a new three-storey detached dwelling with a rear integral garage and side third storey terrace, on the undersized retained lot (part 1) described in consent application b0094/21tey.",http://app.toronto.ca/AIC/index.do?folderRsn=ry4cnnBV7O9zGVJiD6V7TA%3D%3D
52,59 r hepbourne st,ward 9: davenport,22 124796 s45 09 tlab,toronto local appeal body,21/03/2022,hearing scheduled,to construct a new three-storey detached dwelling with a rear integral garage and front third storey terrace. on the undersized conveyed  lot (part 2) described in consent application b0094/21tey.,http://app.toronto.ca/AIC/index.do?folderRsn=N6F84FWVrcxYxMXd2fOx1w%3D%3D
53,241 margueretta st,ward 9: davenport,22 109044 ste 09 mv,minor variance,31/01/2022,closed,"to alter the existing two-storey semi-detached dwelling by constructing: a new front porch, a new second-storey front bay-window as well as a two-storey rear addition with a rear ground floor deck.",http://app.toronto.ca/AIC/index.do?folderRsn=i%2F9acifIgItOnQCudWRSsA%3D%3D
54,429 montrose ave,ward 11: university-rosedale,21 245873 ste 11 mv,minor variance,7/12/2021,tlab appeal,"to alter the existing two-storey semi-detached dwelling by constructing a third storey addition, a rear three-storey addition and rear decks on each level of the dwelling. also, to install a secondary suite within the basement with front and rear basement walkouts.",http://app.toronto.ca/AIC/index.do?folderRsn=dbQeKpIOzYB089DVExJpcA%3D%3D
55,429 montrose ave,ward 11: university-rosedale,22 131660 s45 11 tlab,toronto local appeal body,7/4/2022,hearing scheduled,"to alter the existing two-storey semi-detached dwelling by constructing a third storey addition, a rear three-storey addition and rear decks on each level of the dwelling. also, to install a secondary suite within the basement with front and rear basement walkouts.",http://app.toronto.ca/AIC/index.do?folderRsn=cdOd2NPpMCQT3CT7j2rh7g%3D%3D
56,484 montrose ave,ward 11: university-rosedale,22 143152 ste 11 mv,minor variance,6/5/2022,accepted,"to construct a full two-storey rear addition, and a partial third-storey rear addition.",http://app.toronto.ca/AIC/index.do?folderRsn=X3veJX6U6agczxPJMApyYw%3D%3D
57,72 northumberland st,ward 9: davenport,21 244769 ste 09 mv,minor variance,3/12/2021,closed,to alter the existing two-storey townhouse dwelling by constructing a partial third storey addition.,http://app.toronto.ca/AIC/index.do?folderRsn=SGhJ3PFu0il6y9%2BKGwjWeg%3D%3D
58,582 ossington ave,ward 9: davenport,21 229520 s45 09 tlab,toronto local appeal body,22/10/2021,decision issued,"to alter the existing three-storey, three-unit, semi-detached dwelling by constructing a third storey rear addition and to legalize and maintain the second storey rear covered deck.",http://app.toronto.ca/AIC/index.do?folderRsn=hiNoFjVE%2FGAf88EU%2FUqdjg%3D%3D
59,582 ossington ave,ward 9: davenport,21 168619 ste 09 mv,minor variance,10/6/2021,tlab appeal,"to alter the existing three-storey, three-unit, semi-detached dwelling by constructing a third storey rear addition and to legalize and maintain the second storey rear covered deck.",http://app.toronto.ca/AIC/index.do?folderRsn=6QLWCKJam3daij4Sp0mOeg%3D%3D
60,686 ossington ave,ward 9: davenport,13 250500 ste 19 sa,site plan approval,15/10/2013,noac issued,"proposal for site plan control of the present place of worship for additions to its front, north and rear sides for an expansion. the expansion of 1009.9m2 will allow for larger areas throughout the facility.",http://app.toronto.ca/AIC/index.do?folderRsn=9AbAPoOMd5LoyQwDdhKzGA%3D%3D
61,695 ossington ave,ward 11: university-rosedale,22 101515 ste 11 sa,site plan approval,7/1/2022,under review,"site plan approval for a 4-storey residential building containing 18 units and rear two-storey laneway suite containing 2 units, and having a combined floor area of 1432.60 square metres.",http://app.toronto.ca/AIC/index.do?folderRsn=C%2BfGe6vC7EylxbKAuaVAjg%3D%3D
62,693 ossington ave,ward 11: university-rosedale,21 227340 ste 11 mv,minor variance,18/10/2021,deferred,"to construct a four storey apartment building with sunken front and rear patios, containing 18 units and to convert the existing garages into laneway suites containing two units by joining the garages and constructing a second storey addition.",http://app.toronto.ca/AIC/index.do?folderRsn=hiOTCCLqKl5pW7udusatCA%3D%3D
63,951 ossington ave,ward 11: university-rosedale,22 131689 ste 11 mv,minor variance,7/4/2022,postponed,to convert the ground floor or the existing two-storey semi-detached mixed-use building from a retail store (selling baked goods) into an office use. the second floor residential unit will be maintained.,http://app.toronto.ca/AIC/index.do?folderRsn=ZEXpF7OMvFBvql2vwcJueg%3D%3D
64,984 ossington ave,ward 9: davenport,22 141721 s45 09 tlab,toronto local appeal body,3/5/2022,hearing scheduled,"to alter the existing two-storey semi-detached dwelling by constructing a third-storey addition. also, a rear two-storey laneway suite containing a basement will be constructed.",http://app.toronto.ca/AIC/index.do?folderRsn=K8UtaBx8nAYFZKQjUtTpng%3D%3D
65,984 ossington ave,ward 9: davenport,21 216000 ste 09 mv,minor variance,22/09/2021,tlab appeal,"to alter the existing two-storey semi-detached dwelling by constructing a third-storey addition. also, a rear two-storey laneway suite containing a basement will be constructed.",http://app.toronto.ca/AIC/index.do?folderRsn=PQUreINjXQMf8M%2BvUzEihg%3D%3D
66,56 pauline ave,ward 9: davenport,22 157894 ste 09 mv,minor variance,7/6/2022,accepted,"to alter the existing two-storey semi-detached dwelling by constructing a one-storey rear addition, a complete basement, and a rear deck on the first and second floor. the rear two-storey addition will be demolished.",http://app.toronto.ca/AIC/index.do?folderRsn=iWtVY7pNpD%2Fl09cjmacUig%3D%3D
67,45 pendrith st,ward 11: university-rosedale,22 119773 ste 11 mv,minor variance,4/3/2022,tentatively scheduled,to legalize and maintain the existing three storey semi detached dwelling which has not been constructed in accordance with omb decision pl160231.,http://app.toronto.ca/AIC/index.do?folderRsn=wWK1oCVKIjrtuvBaAi55FQ%3D%3D
68,81 pendrith st,ward 11: university-rosedale,22 112086 ste 11 mv,minor variance,8/2/2022,closed,"to construct a new three-storey ancillary building (one-car garage with a laneway suite above) in the rear yard, abutting the laneway. this ancillary building will have two decks (north and south sides) on the second storey and two decks (west and south sides) on the third storey.",http://app.toronto.ca/AIC/index.do?folderRsn=1wBsqA1mhEMfM1RP7ilYKg%3D%3D
69,481 roxton rd,ward 11: university-rosedale,21 250641 ste 11 mv,minor variance,21/12/2021,closed,to alter the existing two-storey semi-detached dwelling by constructing a complete third storey addition and a rear two-storey addition.,http://app.toronto.ca/AIC/index.do?folderRsn=BbnX9QipYiBM3a2cGwtE6g%3D%3D
70,490 roxton rd,ward 11: university-rosedale,22 155381 ste 11 mv,minor variance,1/6/2022,accepted,"to alter the existing two-storey detached dwelling by constructing: a front and rear basement addition; a front and rear two-storey addition; a new front porch; and a complete third-storey addition with a rear third floor deck. also, to construct a two-storey laneway suite with a single-car garage at the rear yard abutting the laneway. the existing detached garage will be demolished.",http://app.toronto.ca/AIC/index.do?folderRsn=RODXUz5Hir8KIULamFSVGw%3D%3D
71,498 roxton rd,ward 11: university-rosedale,22 114091 ste 11 mv,minor variance,14/02/2022,closed,"to alter the existing building by constructing a second storey addition with a front walkout roof deck, a rear third storey addition, a rear third storey balcony, and a front third storey walkout roof deck.",http://app.toronto.ca/AIC/index.do?folderRsn=m%2B1FkLCKQdv1%2FF0fvFYhNA%3D%3D
72,527 roxton rd,ward 11: university-rosedale,22 145523 ste 11 mv,minor variance,11/5/2022,tentatively scheduled,to alter the existing 2 1/2-storey semi-detached dwelling by constructing a third storey rear addition and some interior alterations.,http://app.toronto.ca/AIC/index.do?folderRsn=vQ%2F6ll%2B2XTQKjK67%2B3nO%2Fg%3D%3D
73,143 rusholme rd,ward 9: davenport,22 118933 ste 09 co,application for consent,2/3/2022,application withdrawn,proposed eliminate completely the right of way between house,http://app.toronto.ca/AIC/index.do?folderRsn=We%2BQZCSmNj6ExRPFPqd5WA%3D%3D
74,143 rusholme rd,ward 9: davenport,22 118958 ste 09 co,application for consent,2/3/2022,application withdrawn,proposed to reduce the width of the right of way between house,http://app.toronto.ca/AIC/index.do?folderRsn=Ig%2B3Wp5sCKGyRSKdomngvg%3D%3D
75,143 rusholme rd,ward 9: davenport,22 118906 ste 09 mv,minor variance,2/3/2022,postponed,"to construct a new three-storey dwelling with a rear ground floor deck, and front and rear third storey decks.",http://app.toronto.ca/AIC/index.do?folderRsn=VtErHjSzpRChd3liCjcMFw%3D%3D
76,268 rusholme rd,ward 9: davenport,22 138859 ste 09 mv,minor variance,27/04/2022,tentatively scheduled,interior alterations throughout and new front walkout,http://app.toronto.ca/AIC/index.do?folderRsn=ZRaWt%2F%2BFyAGPnsmfqwR9AQ%3D%3D
77,386 rusholme rd,ward 9: davenport,21 166120 ste 09 co,application for consent,5/6/2021,conditional consent,to obtain consent for a technical severance to re-establish two residential lots which merged on title.,http://app.toronto.ca/AIC/index.do?folderRsn=R1jvRZASFwz%2FGu%2FxCFdILQ%3D%3D
78,20 russett ave,ward 9: davenport,22 145260 ste 09 mv,minor variance,11/5/2022,postponed,proposal to construct a new second floor laneway suite addition over the existing rear yard one storey detached private garage and construct a new rear yard supplementary spiral staircase for the existing main dwelling on the lot.,http://app.toronto.ca/AIC/index.do?folderRsn=jjVW5xfhlmVswTTx5XXuZg%3D%3D
79,652 shaw st,ward 11: university-rosedale,22 137936 ste 11 mv,minor variance,25/04/2022,tentatively scheduled,"to alter the existing building by constructing a rear basement walkout, a rear ground floor deck, a rear third storey addition, and a rear third storey rooftop terrace. also, to construct a rear detached garage.",http://app.toronto.ca/AIC/index.do?folderRsn=I76fjndM2lmOB2LUn3mDqw%3D%3D
80,703 shaw st,ward 11: university-rosedale,21 252277 ste 11 mv,minor variance,30/12/2021,tentatively scheduled,"to alter the existing two-and-one-half-storey semi-detached dwelling by reconstructing a new front porch with balcony above and to construct a rear one-storey ancillary building (detached garage), abutting the laneway.",http://app.toronto.ca/AIC/index.do?folderRsn=O3QpX3fJE12XtiVQtb7UnA%3D%3D
81,804 shaw st,ward 11: university-rosedale,22 109048 ste 11 mv,minor variance,31/01/2022,accepted,alter the existing semi-detached dwelling by constructing a complete third storey.,http://app.toronto.ca/AIC/index.do?folderRsn=pp33F9RK1JS7kZCtMlNsEg%3D%3D
82,998 shaw st,ward 11: university-rosedale,22 129407 ste 11 mv,minor variance,1/4/2022,tentatively scheduled,"to alter the existing two-storey detached dwelling by constructing a rear two-storey addition, a rear ground floor concrete landing and stairs, and a rear second floor balcony.",http://app.toronto.ca/AIC/index.do?folderRsn=b2%2Bje%2FPsX4qHTw5wH0VSQA%3D%3D
